custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_9223,-100.32112,20.03099,593.0,False,131.70603,0.80601
t_9224,-100.36908,20.03152,598.0,False,127.49024,0.7983
t_9225,-100.41704,20.03203,721.0,False,54.55082,0.64452
t_9226,-100.465,20.03252,352.0,False,411.04459,1.46376
t_9227,-100.51296,20.033,286.0,False,469.05795,1.85623
t_9228,-100.56092,20.03346,269.0,False,480.04735,1.99103
t_9229,-100.60888,20.03391,466.0,False,271.3905,1.06189
t_9230,-100.65684,20.03434,600.0,False,125.83404,0.79526
t_9231,-100.7048,20.03475,624.0,False,107.28517,0.76037
t_9232,-100.32056,20.07632,429.0,False,319.07385,1.1673
t_9233,-100.36854,20.07684,699.0,False,63.77213,0.66778
t_9234,-100.41651,20.07735,900.0,False,15.45801,0.5001
t_9235,-100.46449,20.07785,433.0,False,313.92715,1.15497
t_9236,-100.51246,20.07832,600.0,False,125.83404,0.79526
t_9237,-100.56044,20.07879,600.0,False,125.83404,0.79526
t_9238,-100.60841,20.07923,600.0,False,125.83404,0.79526
t_9239,-100.65639,20.07967,339.0,False,424.32735,1.52815
t_9240,-100.70437,20.08008,383.0,False,376.27948,1.32903
t_9241,-100.32,20.12165,486.0,False,246.10074,1.01205
t_9242,-100.36799,20.12217,522.0,False,202.95005,0.93261
t_9243,-100.41598,20.12268,900.0,False,15.45801,0.5001
t_9244,-100.46397,20.12317,484.0,False,248.59727,1.01684
t_9245,-100.51196,20.12365,392.0,False,365.50236,1.29418
t_9246,-100.55996,20.12411,503.0,False,225.26198,0.97302
t_9247,-100.60795,20.12456,494.0,False,236.20409,0.99332
t_9248,-100.65594,20.12499,434.0,False,312.63863,1.15193
t_9249,-100.70394,20.12541,327.0,False,435.81724,1.59247
t_9250,-100.31944,20.16698,477.0,False,257.39744,1.03392
t_9251,-100.36744,20.1675,340.0,False,423.33576,1.52301
t_9252,-100.41545,20.16801,597.0,False,128.32479,0.79983
t_9253,-100.46346,20.1685,462.0,False,276.51759,1.07242
t_9254,-100.51147,20.16898,423.0,False,326.76524,1.18626
t_9255,-100.55947,20.16945,416.0,False,335.68,1.20912
t_9256,-100.60748,20.16989,487.0,False,244.85568,1.00967
t_9257,-100.65549,20.17033,776.0,False,36.85289,0.59253
t_9258,-100.7035,20.17074,584.0,False,139.56632,0.82023
t_9259,-100.31887,20.21231,406.0,False,348.26823,1.24325
t_9260,-100.3669,20.21283,483.0,False,249.84864,1.01924
t_9261,-100.41492,20.21334,526.0,False,198.40546,0.9245
t_9262,-100.46294,20.21384,395.0,False,361.85397,1.28294
t_9263,-100.51097,20.21432,349.0,False,414.18391,1.47816
t_9264,-100.55899,20.21478,445.0,False,298.43653,1.11941
t_9265,-100.60702,20.21523,634.0,False,100.26286,0.74666
t_9266,-100.65504,20.21566,756.0,False,42.50254,0.6105
t_9267,-100.70307,20.21608,584.0,False,139.56632,0.82023
t_9268,-100.31831,20.25764,381.0,False,378.63755,1.33701
t_9269,-100.36635,20.25817,344.0,False,419.31836,1.50276
t_9270,-100.41439,20.25868,392.0,False,365.50236,1.29418
t_9271,-100.46243,20.25917,754.0,False,43.11346,0.61235
t_9272,-100.51047,20.25965,357.0,False,405.71749,1.44033
t_9273,-98.83676,19.91664,180.0,False,514.02191,3.15269
t_9274,-98.88467,19.91763,251.0,False,489.95103,2.1552
t_9275,-98.93258,19.9186,211.0,False,506.13753,2.62866
t_9276,-98.98049,19.91957,358.0,False,404.63815,1.43573
t_9277,-98.54816,19.95568,311.0,False,449.91856,1.68654
t_9278,-98.59609,19.95676,449.0,False,293.2685,1.10801
t_9279,-98.64401,19.95783,390.0,False,367.91967,1.30177
t_9280,-98.69193,19.95888,327.0,False,435.81724,1.59247
t_9281,-98.73985,19.95992,556.0,False,166.24591,0.86766
t_9282,-98.78778,19.96094,378.0,False,382.14779,1.34916
t_9283,-98.8357,19.96195,256.0,False,487.37379,2.10711
t_9284,-98.88363,19.96294,459.0,False,280.37316,1.08044
t_9285,-98.93156,19.96392,620.0,False,110.20875,0.76598
t_9286,-98.97948,19.96488,377.0,False,383.31051,1.35325
t_9287,-98.54701,20.00099,461.0,False,277.80189,1.07508
t_9288,-98.59495,20.00207,485.0,False,247.34795,1.01444
t_9289,-98.64289,20.00314,606.0,False,120.96828,0.78626
t_9290,-98.69083,20.0042,502.0,False,226.46689,0.97523
t_9291,-98.73876,20.00523,235.0,False,497.33812,2.32387
t_9292,-98.78671,20.00626,230.0,False,499.3884,2.38175
t_9293,-98.83465,20.00726,369.0,False,392.4733,1.38687
t_9294,-98.88259,20.00826,432.0,False,315.215,1.15803
t_9295,-98.93053,20.00923,481.0,False,252.35736,1.02409
t_9296,-98.97847,20.0102,368.0,False,393.60059,1.39118
t_9297,-98.54586,20.0463,508.0,False,219.28092,0.96207
t_9298,-98.59381,20.04739,602.0,False,124.195,0.79224
t_9299,-98.64176,20.04846,490.0,False,241.13383,1.0026
